DataCode,RecType,CaptureID,CaptureDate,Watershed,SpeciesCode,CaptureTime,CaptureMethod,Recap,BandPrefixNumber,BandSuffixNumber,ColorBands,Age,HowAged,Sex,CP,BP,HowSexed,HeadBill,Tarsus,WingChord,MoltScore,FatScore,BloodSample,BirdMass,HowWeighed,Bander,Photos,TotalBlood,Haematocrit,Feather,FeatherCollected,ConcTRIG,TRIG,ConcBUTY,BUTY,FatMass,LeanMass,BodyWater,PositionRegion,PositionX,PositionY,Notes
CBS01,1,225,5/13/2013,C3B,GRSP,10:16:00,mistnet,FALSE,1831,10597,SW-OR,AHY,CP,M,5,0,CP,-999,-999,-999,-999,-999,FALSE,-999,NA,AB,FALSE,-999,-999,FALSE,NA,-999,FALSE,-999,FALSE,-999,-999,-999,14 S,712426,4329623,Recapped same yr
CBS01,1,16,5/13/2013,C3B,GRSP,09:25:00,mistnet,FALSE,1831,10596,SA-PY,AHY,CP,M,5,0,CP,28.6,19.6,62,0,0,TRUE,18.3,Pesola,AB,FALSE,51.5,52,FALSE,NA,0.8423,FALSE,-999,FALSE,-999,-999,-999,14 S,712444,4329519,
CBS01,1,15,5/13/2013,C3B,GRSP,08:52:00,mistnet,TRUE,1831,10597,SW-OR,AHY,CP,M,5,0,CP,28.2,21.5,62.5,0,0,TRUE,17.3,Pesola,AB,FALSE,46.9,52,FALSE,NA,0.549,FALSE,-999,FALSE,-999,-999,-999,14 S,712481,4329549,Same yr recap.
CBS01,1,14,5/13/2013,C3B,GRSP,08:11:00,mistnet,FALSE,1831,10598,RW-SD,AHY,CP,M,5,0,CP,28.5,21.9,61,0,0,TRUE,16.5,Pesola,AB,FALSE,-999,-999,FALSE,NA,-999,FALSE,-999,FALSE,-999,-999,-999,14 S,712549,4329526,Whole blood for DNA only.
CBS01,1,13,5/13/2013,C3B,GRSP,08:04:00,mistnet,FALSE,1831,10599,OS-BG,AHY,CP,M,5,0,CP,30,20.4,62,0,0,TRUE,18.3,Pesola,AB,FALSE,-999,-999,FALSE,NA,-999,FALSE,-999,FALSE,-999,-999,-999,14 S,712549,4329526,Whole blood for DNA only.
CBS01,1,12,5/13/2013,C3B,GRSP,06:55:00,mistnet,FALSE,1831,10600,YB-SR,AHY,CP,M,5,0,CP,28.2,20.7,62,0,0,TRUE,17,Pesola,AB,FALSE,-999,-999,FALSE,NA,-999,FALSE,-999,FALSE,-999,-999,-999,14 S,712519,4329664,Whole blood for DNA only. Very small amount of blood taken.
CBS01,1,38,5/14/2013,C3SA,GRSP,10:01:00,mistnet,FALSE,1831,10590,GR-WS,AHY,CP,M,5,0,CP,29.1,20.7,63,0,0.5,TRUE,16.3,Pesola,AB,FALSE,46.2,51,FALSE,NA,0.6242,FALSE,-999,FALSE,-999,-999,-999,14 S,711011,4330977,
CBS01,1,37,5/14/2013,C3SA,GRSP,09:33:00,mistnet,FALSE,1831,10591,WD-SP,AHY,CP,M,5,0,CP,29,20.1,63.5,0,0,TRUE,17.4,Pesola,AB,FALSE,54.8,51,FALSE,NA,0.6104,FALSE,-999,FALSE,-999,-999,-999,14 S,711045,4331067,
CBS01,1,36,5/14/2013,C3SA,GRSP,08:50:00,mistnet,FALSE,1831,10592,SD-BG,AHY,CP,M,5,0,CP,28.9,19.6,63,0,0,TRUE,16.6,Pesola,AB,FALSE,58.4,54,FALSE,NA,0.576,TRUE,-999,FALSE,-999,-999,-999,14 S,710967,4331067,
CBS01,1,35,5/14/2013,C3SA,GRSP,07:57:00,mistnet,FALSE,1831,10593,PS-RW,AHY,CP,M,5,0,CP,28.6,20.3,62.5,0,0,TRUE,17.3,Pesola,AB,FALSE,56.4,53,FALSE,NA,0.7702,FALSE,-999,FALSE,-999,-999,-999,14 S,710863,4330945,
CBS01,1,34,5/14/2013,C3SA,GRSP,07:17:00,mistnet,FALSE,1831,10594,GS-PB,AHY,CP,M,5,0,CP,30.2,20.6,63.5,0,0,TRUE,18.5,Pesola,AB,FALSE,15.7,58,FALSE,NA,0.1553,FALSE,-999,FALSE,-999,-999,-999,14 S,710907,4330867,
CBS01,1,33,5/14/2013,C3SA,GRSP,06:40:00,mistnet,FALSE,1831,10595,YS-KO,AHY,CP,M,5,0,CP,28.7,21.1,64.5,0,0,TRUE,17,Pesola,AB,FALSE,42.5,45,FALSE,NA,0.8965,FALSE,-999,FALSE,-999,-999,-999,14 S,710837,4330867,Recapped in 2016.
CBS01,1,20,5/15/2013,2A,GRSP,09:11:00,mistnet,FALSE,1831,10586,SD-RW,AHY,CP,M,3,0,CP,28.5,19.9,62,0,1,TRUE,15.85,DigitalScale,AB,FALSE,48.8,48,FALSE,NA,0.5418,FALSE,-999,FALSE,-999,-999,-999,14 S,707400,4327229,Unsure of capture time.
CBS01,1,21,5/15/2013,2A,GRSP,09:54:00,mistnet,FALSE,1831,10585,KY-SB,AHY,CP,M,3,0,CP,28.5,20.5,62.5,0,2,TRUE,17.17,DigitalScale,AB,FALSE,43.5,51,FALSE,NA,0.506,FALSE,-999,FALSE,-999,-999,-999,14 S,707255,4327161,
CBS01,1,19,5/15/2013,2A,GRSP,09:11:00,mistnet,FALSE,1831,10587,SA-OG,AHY,CP,M,3,0,CP,29.5,21.1,61.5,0,0,TRUE,17.16,DigitalScale,AB,FALSE,58.1,35,FALSE,NA,0.5858,FALSE,-999,FALSE,-999,-999,-999,14 S,707400,4327229,very low haematocrit
CBS01,1,18,5/15/2013,2A,GRSP,06:32:00,mistnet,FALSE,1831,10588,BY-SP,AHY,CP,M,3,0,CP,28.9,20,62,0,1,TRUE,16.12,DigitalScale,AB,FALSE,16.2,55,FALSE,NA,0.4577,FALSE,-999,FALSE,-999,-999,-999,14 S,707408,4327302,
CBS01,1,17,5/15/2013,2A,GRSP,06:30:00,mistnet,FALSE,1831,10589,SW-KD,AHY,CP,M,3,0,CP,29,20.8,63.5,0,1,TRUE,16.67,DigitalScale,AB,FALSE,-999,-999,FALSE,NA,-999,FALSE,-999,FALSE,-999,-999,-999,14 S,707408,4327302,Too small of an amount of blood
CBS01,1,26,5/16/2013,N1A,GRSP,09:16:00,mistnet,FALSE,1831,10580,SB-OP,AHY,CP,M,5,0,CP,29.1,21.1,63.5,0,0,TRUE,17.82,DigitalScale,AB,FALSE,59.5,49,FALSE,NA,0.8853,FALSE,-999,FALSE,-999,-999,-999,14 S,708192,4329720,
CBS01,1,25,5/16/2013,N1A,GRSP,08:25:00,mistnet,FALSE,1831,10581,SB-RG,AHY,CP,M,5,0,CP,29.4,20,61.5,0,1,TRUE,17.01,DigitalScale,AB,FALSE,27.5,52,FALSE,NA,1,TRUE,-999,FALSE,-999,-999,-999,14 S,708342,4329676,
CBS01,1,24,5/16/2013,N1A,GRSP,07:39:00,mistnet,FALSE,1831,10582,SD-YD,AHY,CP,M,5,0,CP,29.2,20,62.5,0,0,TRUE,16.23,DigitalScale,AB,FALSE,52.4,54,FALSE,NA,0.6199,FALSE,-999,FALSE,-999,-999,-999,14 S,708305,4329755,
CBS01,1,23,5/16/2013,N1A,GRSP,06:58:00,mistnet,FALSE,1831,10583,GO-SK,AHY,CP,M,5,0,CP,29.7,20.8,62.5,0,1,TRUE,17.35,DigitalScale,AB,FALSE,46.2,52,FALSE,NA,0.9229,FALSE,-999,FALSE,-999,-999,-999,14 S,708278,4329915,May have been in net longer (<20 mins)
CBS01,1,22,5/16/2013,N1A,GRSP,06:38:00,mistnet,FALSE,1831,10584,WK-SW,AHY,CP,M,5,0,CP,29,21.1,62,0,0,TRUE,16.62,DigitalScale,AB,FALSE,47.7,52,FALSE,NA,0.6584,FALSE,-999,FALSE,-999,-999,-999,14 S,708278,4329915,
CBS01,1,29,5/17/2013,C3B,GRSP,07:30:00,mistnet,FALSE,1831,10577,PD-KS,AHY,CP,M,5,0,CP,28.5,20.1,62.5,0,0,TRUE,17.79,DigitalScale,AB,FALSE,32.4,52,FALSE,NA,0.8647,FALSE,-999,FALSE,-999,-999,-999,14 S,712479,4329822,About 10 mins to bleed.
CBS01,1,28,5/17/2013,C3B,GRSP,07:15:00,mistnet,FALSE,1831,10578,OR-YS,AHY,CP,M,5,0,CP,28.6,19.9,64,0,0,TRUE,16.93,DigitalScale,AB,FALSE,-999,-999,FALSE,NA,0.9422,FALSE,-999,FALSE,-999,-999,-999,14 S,712479,4329822,Forgot to measure haematocrit.
CBS01,1,27,5/17/2013,C3B,GRSP,06:22:00,mistnet,FALSE,1831,10579,SG-DO,AHY,CP,M,5,0,CP,28.3,20.9,61.5,0,1,TRUE,17.82,DigitalScale,AB,FALSE,57.9,50,FALSE,NA,0.7423,FALSE,-999,FALSE,-999,-999,-999,14 S,712398,4329806,
CBS01,1,31,5/17/2013,C3B,GRSP,09:25:00,mistnet,FALSE,1831,10575,PS-RP,AHY,CP,M,5,0,CP,29.7,21,61.5,0,1,TRUE,17.19,DigitalScale,AB,FALSE,54.1,50,FALSE,NA,0.6953,FALSE,-999,FALSE,-999,-999,-999,14 S,712298,4329742,Worn rectrices. Recapped same yr.
CBS01,1,32,5/17/2013,C3B,GRSP,09:52:00,mistnet,FALSE,1831,10574,SK-WB,AHY,CP,M,5,0,CP,28.8,20.3,63,0,0,TRUE,16.42,DigitalScale,AB,FALSE,50.5,50,FALSE,NA,0.6042,FALSE,-999,FALSE,-999,-999,-999,14 S,712339,4329600,
CBS01,1,30,5/17/2013,C3B,GRSP,08:45:00,mistnet,FALSE,1831,10576,OS-KD,AHY,CP,M,5,0,CP,29.5,20.1,63,0,0,TRUE,17.82,DigitalScale,AB,FALSE,54.1,52,FALSE,NA,0.8303,FALSE,-999,FALSE,-999,-999,-999,14 S,712351,4329672,
CBS01,1,51,5/20/2013,C3C,GRSP,11:11:00,mistnet,FALSE,1831,10568,RA-SO,AHY,CP,M,5,0,CP,-999,-999,-999,0,1,TRUE,-999,NA,AB,FALSE,53,47,FALSE,NA,0.8578,FALSE,-999,FALSE,-999,-999,-999,14 S,712564,4329167,Escaped
CBS01,1,50,5/20/2013,C3C,GRSP,10:34:00,mistnet,FALSE,1831,10569,KY-SG,AHY,CP,M,5,0,CP,29.4,20.5,62.5,0,0,TRUE,17.9,DigitalScale,AB,FALSE,54.7,50,FALSE,NA,0.5797,FALSE,-999,FALSE,-999,-999,-999,14 S,712632,4329150,Dulpicate color band--KY-SG also banded 16-jul-14
CBS01,1,49,5/20/2013,C3C,GRSP,10:07:00,mistnet,FALSE,1831,10570,SW-RG,AHY,CP,M,5,0,CP,28.9,21.5,63,0,0,TRUE,17.31,DigitalScale,AB,FALSE,54.7,48,FALSE,NA,0.7752,FALSE,-999,FALSE,-999,-999,-999,14 S,712618,4329263,
CBS01,1,48,5/20/2013,C3C,GRSP,07:45:00,mistnet,FALSE,1831,10571,DR-GS,AHY,CP,M,5,0,CP,29.2,20.6,62,0,0,TRUE,17.17,DigitalScale,AB,FALSE,-999,-999,FALSE,NA,0.6842,FALSE,-999,FALSE,-999,-999,-999,14 S,712395,4329252,Hardly any blood - recollect for gen!
CBS01,1,47,5/20/2013,C3C,GRSP,07:10:00,mistnet,FALSE,1831,10572,SP-BO,AHY,CP,M,5,0,CP,29.1,21.1,64,0,0,TRUE,18.29,DigitalScale,AB,FALSE,32.8,51,FALSE,NA,0.4423,TRUE,-999,FALSE,-999,-999,-999,14 S,712461,4329252,Recapped same yr.
CBS01,1,46,5/20/2013,C3C,GRSP,06:31:00,mistnet,FALSE,1831,10573,GY-KS,AHY,CP,M,5,0,CP,28.8,20.8,62,0,0,TRUE,16.27,DigitalScale,AB,FALSE,52,51,FALSE,NA,0.4937,FALSE,-999,FALSE,-999,-999,-999,14 S,712405,4329189,
CBS01,1,41,5/21/2013,K2A,GRSP,07:34:00,mistnet,FALSE,1831,10565,SR-DR,AHY,CP,M,5,0,CP,27.6,20.6,62,0,0,TRUE,16.76,DigitalScale,AB,FALSE,40,52,FALSE,NA,1.2012,TRUE,-999,FALSE,-999,-999,-999,14 S,710385,4330618,Male just off NW corner of plot.
CBS01,1,45,5/21/2013,K2A,GRSP,09:27:00,mistnet,FALSE,1831,10562,GR-SD,AHY,CP,M,5,0,CP,28.9,20.5,62.5,0,1,TRUE,17.92,DigitalScale,AB,FALSE,-999,-999,FALSE,NA,0.9745,FALSE,-999,FALSE,-999,-999,-999,14 S,710065,4330541,RBC and total not taken. Caught at same time as sample #44
CBS01,1,44,5/21/2013,K2A,GRSP,09:27:00,mistnet,FALSE,1831,10561,YP-KS,AHY,CP,M,5,0,CP,28.3,21.6,62.5,0,0,TRUE,17.01,DigitalScale,AB,FALSE,-999,-999,FALSE,NA,1.0648,FALSE,-999,FALSE,-999,-999,-999,14 S,710065,4330541,RBC  and total not taken. Male caught at the same time as sample #45. Recapped in 2014.
CBS01,1,42,5/21/2013,K2A,GRSP,08:18:00,mistnet,FALSE,1831,10564,SW-WG,AHY,CP,M,5,0,CP,28.6,21.2,62.5,0,0,TRUE,17.66,DigitalScale,AB,FALSE,44.9,47,FALSE,NA,1.2645,FALSE,-999,FALSE,-999,-999,-999,14 S,710156,4330649,
CBS01,1,40,5/21/2013,K2A,GRSP,07:01:00,mistnet,FALSE,1831,10566,OS-GB,AHY,CP,M,5,0,CP,28.4,20.5,63.5,0,0,TRUE,17.03,DigitalScale,AB,FALSE,64.4,54,FALSE,NA,0.5244,FALSE,-999,FALSE,-999,-999,-999,14 S,710304,4330640,
